ID                                    0x95ee
Delivery_person_ID             SURRES03DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                21.186884
Restaurant_longitude               72.793616
Delivery_location_latitude         21.266884
Delivery_location_longitude        72.873616
Order_Date                        12-03-2022
Time_Orderd                            19:30
Time_Order_picked                      19:35
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 15186, dtype: object
