ID                                      0x21f0
Delivery_person_ID             COIMBRES07DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.041850
Delivery_location_longitude          77.051082
Order_Date                          25-03-2022
Time_Orderd                              23:15
Time_Order_picked                        23:25
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     17.000000
Name: 13485, dtype: object
