ID                                       0xc400
Delivery_person_ID                BHPRES04DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.184992
Restaurant_longitude                  77.417227
Delivery_location_latitude            23.254992
Delivery_location_longitude           77.487227
Order_Date                           14-02-2022
Time_Orderd                               23:20
Time_Order_picked                         23:30
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 18387, dtype: object
