ID                                       0x81fb
Delivery_person_ID                MUMRES05DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.927584
Restaurant_longitude                  72.832585
Delivery_location_latitude            18.937584
Delivery_location_longitude           72.842585
Order_Date                           05-04-2022
Time_Orderd                               10:60
Time_Order_picked                         11:15
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 34910, dtype: object
