ID                                    0xcf0e
Delivery_person_ID             BHPRES02DEL01
Delivery_person_Age                    38.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        17-02-2022
Time_Orderd                            11:10
Time_Order_picked                      11:15
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       25.00
Name: 12450, dtype: object
