ID                                    0xd97b
Delivery_person_ID             KOCRES06DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                 9.982834
Restaurant_longitude               76.283268
Delivery_location_latitude         10.022834
Delivery_location_longitude        76.323268
Order_Date                        13-02-2022
Time_Orderd                            12:35
Time_Order_picked                      12:50
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   39.000000
Name: 11166, dtype: object
