ID                                       0xe04f
Delivery_person_ID                AGRRES01DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   27.161661
Restaurant_longitude                  78.011544
Delivery_location_latitude            27.191661
Delivery_location_longitude           78.041544
Order_Date                           13-02-2022
Time_Orderd                               21:35
Time_Order_picked                         21:45
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 7663, dtype: object
