ID                                    0x578b
Delivery_person_ID             HYDRES03DEL03
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                17.422819
Restaurant_longitude               78.449578
Delivery_location_latitude         17.452819
Delivery_location_longitude        78.479578
Order_Date                        28-03-2022
Time_Orderd                            21:30
Time_Order_picked                      21:35
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 36865, dtype: object
