ID                                       0xc5a2
Delivery_person_ID                KOCRES05DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                    9.970717
Restaurant_longitude                  76.285447
Delivery_location_latitude            10.000717
Delivery_location_longitude           76.315447
Order_Date                           11-02-2022
Time_Orderd                               21:45
Time_Order_picked                         21:50
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 16635, dtype: object
