ID                                       0x1bdf
Delivery_person_ID                SURRES19DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.149669
Restaurant_longitude                  72.772629
Delivery_location_latitude            21.279669
Delivery_location_longitude           72.902629
Order_Date                           14-03-2022
Time_Orderd                               19:10
Time_Order_picked                         19:20
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 38833, dtype: object
