ID                                     0x2e9c
Delivery_person_ID             CHENRES11DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.064181
Restaurant_longitude                80.236442
Delivery_location_latitude          13.074181
Delivery_location_longitude         80.246442
Order_Date                         19-03-2022
Time_Orderd                              8:10
Time_Order_picked                        8:20
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 21527, dtype: object
