ID                                      0x597f
Delivery_person_ID             COIMBRES13DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.113669
Delivery_location_longitude          77.086494
Order_Date                          27-03-2022
Time_Orderd                              22:60
Time_Order_picked                        23:05
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 14144, dtype: object
