ID                                       0xdab9
Delivery_person_ID               LUDHRES13DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.893234
Restaurant_longitude                  75.821720
Delivery_location_latitude            30.973234
Delivery_location_longitude           75.901720
Order_Date                           16-02-2022
Time_Orderd                               19:50
Time_Order_picked                         19:55
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 41107, dtype: object
