ID                                    0xdb35
Delivery_person_ID             KOCRES09DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                10.000706
Restaurant_longitude               76.349516
Delivery_location_latitude         10.020706
Delivery_location_longitude        76.369516
Order_Date                        13-02-2022
Time_Orderd                             9:45
Time_Order_picked                       9:50
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 17433, dtype: object
