ID                                      0xe42
Delivery_person_ID             PUNERES05DEL03
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.543626
Restaurant_longitude                73.905101
Delivery_location_latitude          18.603626
Delivery_location_longitude         73.965101
Order_Date                         28-03-2022
Time_Orderd                             19:25
Time_Order_picked                       19:30
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 3915, dtype: object
