ID                                     0x6bf4
Delivery_person_ID             CHENRES15DEL02
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.106286
Delivery_location_longitude         80.355235
Order_Date                         08-03-2022
Time_Orderd                             20:25
Time_Order_picked                       20:35
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    34.000000
Name: 37639, dtype: object
