ID                                     0xc5bd
Delivery_person_ID             LUDHRES15DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 30.899584
Restaurant_longitude                75.809346
Delivery_location_latitude          30.909584
Delivery_location_longitude         75.819346
Order_Date                         17-02-2022
Time_Orderd                              9:60
Time_Order_picked                       10:05
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                  NaN
City                                    Urban
Time_taken (min)                    11.000000
Name: 18885, dtype: object
