ID                                    0xa23d
Delivery_person_ID             VADRES03DEL03
Delivery_person_Age                    22.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.38
Delivery_location_longitude            73.23
Order_Date                        15-03-2022
Time_Orderd                            23:60
Time_Order_picked                      24:10
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       27.00
Name: 1115, dtype: object
