ID                                       0x40fb
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           21-03-2022
Time_Orderd                               11:35
Time_Order_picked                         11:45
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          37.00
Name: 36203, dtype: object
