ID                                       0x1ae9
Delivery_person_ID               CHENRES12DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.972793
Restaurant_longitude                  80.249982
Delivery_location_latitude            12.992793
Delivery_location_longitude           80.269982
Order_Date                           21-03-2022
Time_Orderd                               11:25
Time_Order_picked                         11:40
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 41666, dtype: object
