ID                                        0xe96
Delivery_person_ID                VADRES15DEL02
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.50
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           19-03-2022
Time_Orderd                               20:35
Time_Order_picked                         20:45
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          27.00
Name: 11460, dtype: object
