ID                                    0x3ee7
Delivery_person_ID             SURRES11DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                21.157735
Restaurant_longitude               72.768778
Delivery_location_latitude         21.167735
Delivery_location_longitude        72.778778
Order_Date                        26-03-2022
Time_Orderd                             8:50
Time_Order_picked                       8:60
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 38132, dtype: object
