ID                                       0x2cf7
Delivery_person_ID             COIMBRES010DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   11.003008
Restaurant_longitude                  76.975440
Delivery_location_latitude            11.113008
Delivery_location_longitude           77.085440
Order_Date                           31-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:15
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 24937, dtype: object
