ID                                     0xec8
Delivery_person_ID             VADRES04DEL01
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        25-03-2022
Time_Orderd                            19:10
Time_Order_picked                      19:20
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     2.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       40.00
Name: 19010, dtype: object
