ID                                       0x5ce9
Delivery_person_ID               VADRES010DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.310329
Restaurant_longitude                  73.169083
Delivery_location_latitude            22.400329
Delivery_location_longitude           73.259083
Order_Date                           29-03-2022
Time_Orderd                               19:40
Time_Order_picked                         19:50
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 41642, dtype: object
