ID                                       0xdbbd
Delivery_person_ID                AGRRES04DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   27.195928
Restaurant_longitude                  77.998092
Delivery_location_latitude            27.335928
Delivery_location_longitude           78.138092
Order_Date                           12-02-2022
Time_Orderd                               20:15
Time_Order_picked                         20:30
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 20654, dtype: object
