ID                                    0xdcfc
Delivery_person_ID             ALHRES03DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                25.451517
Restaurant_longitude               81.832616
Delivery_location_latitude         25.521517
Delivery_location_longitude        81.902616
Order_Date                        14-02-2022
Time_Orderd                            20:15
Time_Order_picked                      20:25
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 23903, dtype: object
