ID                                       0x7ced
Delivery_person_ID             RANCHIRES15DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.379746
Delivery_location_longitude           85.349820
Order_Date                           26-03-2022
Time_Orderd                                8:35
Time_Order_picked                          8:45
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 40462, dtype: object
