ID                                    0xc7dc
Delivery_person_ID             KOLRES02DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.514585
Restaurant_longitude               88.393310
Delivery_location_latitude         22.584585
Delivery_location_longitude        88.463310
Order_Date                        14-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:35
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                      bicycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 42810, dtype: object
