ID                                    0xbf44
Delivery_person_ID             GOARES16DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.498603
Restaurant_longitude               73.826911
Delivery_location_latitude         15.528603
Delivery_location_longitude        73.856911
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                  No
City                              Semi-Urban
Time_taken (min)                   52.000000
Name: 5695, dtype: object
