ID                                     0xa88c
Delivery_person_ID             BANGRES07DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 12.978453
Restaurant_longitude                77.643685
Delivery_location_latitude          13.108453
Delivery_location_longitude         77.773685
Order_Date                         06-04-2022
Time_Orderd                             17:25
Time_Order_picked                       17:35
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    39.000000
Name: 5977, dtype: object
