ID                                    0xbef3
Delivery_person_ID             DEHRES14DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.319528
Restaurant_longitude               78.040267
Delivery_location_latitude         30.329528
Delivery_location_longitude        78.050267
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                       8:40
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 7631, dtype: object
