ID                                     0x6ef
Delivery_person_ID             HYDRES14DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.556228
Delivery_location_longitude        78.537495
Order_Date                        12-03-2022
Time_Orderd                              NaN
Time_Order_picked                      17:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 10453, dtype: object
