ID                                    0x8ec1
Delivery_person_ID             MYSRES14DEL01
Delivery_person_Age                    26.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        26-03-2022
Time_Orderd                             8:30
Time_Order_picked                       8:40
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       12.00
Name: 26424, dtype: object
