ID                                       0x8fbb
Delivery_person_ID              COIMBRES15DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   11.006686
Restaurant_longitude                  76.951736
Delivery_location_latitude            11.076686
Delivery_location_longitude           77.021736
Order_Date                           23-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 5931, dtype: object
