ID                                    0xdb63
Delivery_person_ID             ALHRES19DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                25.457116
Restaurant_longitude               81.859682
Delivery_location_latitude         25.467116
Delivery_location_longitude        81.869682
Order_Date                        15-02-2022
Time_Orderd                            10:25
Time_Order_picked                      10:35
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 36040, dtype: object
