ID                                      0x9dd7
Delivery_person_ID             COIMBRES07DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.041850
Delivery_location_longitude          77.051082
Order_Date                          02-04-2022
Time_Orderd                              18:35
Time_Order_picked                        18:45
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 12545, dtype: object
