ID                                       0xdd4a
Delivery_person_ID                GOARES09DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   15.303897
Restaurant_longitude                  73.914336
Delivery_location_latitude            15.383897
Delivery_location_longitude           73.994336
Order_Date                           14-02-2022
Time_Orderd                               22:25
Time_Order_picked                         22:30
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 12267, dtype: object
