ID                                     0x6b6e
Delivery_person_ID             BANGRES19DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 12.914264
Restaurant_longitude                77.678400
Delivery_location_latitude          13.004264
Delivery_location_longitude         77.768400
Order_Date                         02-04-2022
Time_Orderd                             19:35
Time_Order_picked                       19:50
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 37675, dtype: object
