ID                                      0x42ef
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.081852
Delivery_location_longitude          77.056268
Order_Date                          10-03-2022
Time_Orderd                              18:30
Time_Order_picked                        18:35
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     48.000000
Name: 6720, dtype: object
