ID                                    0xcfb1
Delivery_person_ID             KOCRES05DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                 9.970717
Restaurant_longitude               76.285447
Delivery_location_latitude         10.060717
Delivery_location_longitude        76.375447
Order_Date                        14-02-2022
Time_Orderd                            21:20
Time_Order_picked                      21:35
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   47.000000
Name: 30058, dtype: object
