ID                                      0x18fd
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.943298
Delivery_location_longitude          77.624293
Order_Date                          05-04-2022
Time_Orderd                              10:35
Time_Order_picked                        10:40
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     16.000000
Name: 27663, dtype: object
