ID                                     0xabcf
Delivery_person_ID             CHENRES14DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.026279
Restaurant_longitude                80.174568
Delivery_location_latitude          13.036279
Delivery_location_longitude         80.184568
Order_Date                         11-03-2022
Time_Orderd                              9:15
Time_Order_picked                        9:20
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    14.000000
Name: 23476, dtype: object
