ID                                     0x15aa
Delivery_person_ID             PUNERES17DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.530963
Restaurant_longitude                73.828972
Delivery_location_latitude          18.570963
Delivery_location_longitude         73.868972
Order_Date                         26-03-2022
Time_Orderd                             16:40
Time_Order_picked                       16:55
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 5431, dtype: object
