ID                                       0xb6ea
Delivery_person_ID                JAPRES18DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.913987
Restaurant_longitude                  75.752891
Delivery_location_latitude            26.923987
Delivery_location_longitude           75.762891
Order_Date                           30-03-2022
Time_Orderd                                9:35
Time_Order_picked                          9:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 39218, dtype: object
