ID                                    0x374d
Delivery_person_ID             HYDRES04DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.411028
Restaurant_longitude               78.329645
Delivery_location_latitude         17.491028
Delivery_location_longitude        78.409645
Order_Date                        23-03-2022
Time_Orderd                            18:25
Time_Order_picked                      18:40
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   37.000000
Name: 20826, dtype: object
