ID                                    0xc10f
Delivery_person_ID             GOARES12DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.516833
Restaurant_longitude               73.768172
Delivery_location_latitude         15.556833
Delivery_location_longitude        73.808172
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      15:55
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                           Meal
Type_of_vehicle                      bicycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 12518, dtype: object
