ID                                    0xdd0a
Delivery_person_ID             KNPRES02DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.481617
Delivery_location_longitude        80.323564
Order_Date                        15-02-2022
Time_Orderd                             8:30
Time_Order_picked                       8:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 35059, dtype: object
