ID                                      0x601e
Delivery_person_ID             COIMBRES17DEL01
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.066117
Delivery_location_longitude          76.984652
Order_Date                          30-03-2022
Time_Orderd                              15:25
Time_Order_picked                        15:40
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 30089, dtype: object
