ID                                    0xdb23
Delivery_person_ID             AGRRES18DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                27.161694
Restaurant_longitude               78.034714
Delivery_location_latitude         27.301694
Delivery_location_longitude        78.174714
Order_Date                        12-02-2022
Time_Orderd                            23:30
Time_Order_picked                      23:40
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 23108, dtype: object
