ID                                      0xc6e8
Delivery_person_ID             LUDHRES010DEL01
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.902860
Delivery_location_longitude          75.832199
Order_Date                          11-02-2022
Time_Orderd                              11:30
Time_Order_picked                        11:35
Weather conditions                       Sunny
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     13.000000
Name: 36318, dtype: object
