ID                                      0xa82d
Delivery_person_ID             COIMBRES15DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               3.900000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.096686
Delivery_location_longitude          77.041736
Order_Date                          20-03-2022
Time_Orderd                              20:60
Time_Order_picked                        21:15
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 29619, dtype: object
