ID                                     0xddac
Delivery_person_ID             LUDHRES11DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.933081
Delivery_location_longitude         75.861495
Order_Date                         13-02-2022
Time_Orderd                             12:30
Time_Order_picked                       12:35
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 4104, dtype: object
