ID                                       0xc2f7
Delivery_person_ID               LUDHRES12DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   30.893244
Restaurant_longitude                  75.821817
Delivery_location_latitude            30.913244
Delivery_location_longitude           75.841817
Order_Date                           15-02-2022
Time_Orderd                               10:50
Time_Order_picked                         10:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 16939, dtype: object
