ID                                    0xc99b
Delivery_person_ID             BHPRES04DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                23.184992
Restaurant_longitude               77.417227
Delivery_location_latitude         23.224992
Delivery_location_longitude        77.457227
Order_Date                        13-02-2022
Time_Orderd                            16:60
Time_Order_picked                      17:15
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 8992, dtype: object
