ID                                       0x164c
Delivery_person_ID             RANCHIRES15DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.479746
Delivery_location_longitude           85.449820
Order_Date                           12-03-2022
Time_Orderd                               22:20
Time_Order_picked                         22:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 22645, dtype: object
