ID                                        0x472b
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    36.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            30-03-2022
Time_Orderd                                20:25
Time_Order_picked                          20:40
Weather conditions                    Sandstorms
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       27.000000
Name: 26311, dtype: object
