ID                                     0xc9a7
Delivery_person_ID             AURGRES15DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 19.878028
Restaurant_longitude                75.317475
Delivery_location_latitude          20.008028
Delivery_location_longitude         75.447475
Order_Date                         14-02-2022
Time_Orderd                             23:30
Time_Order_picked                       23:40
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 38452, dtype: object
