ID                                    0xc363
Delivery_person_ID             BHPRES08DEL03
Delivery_person_Age                50.000000
Delivery_person_Ratings             6.000000
Restaurant_latitude                23.232537
Restaurant_longitude               77.429845
Delivery_location_latitude         23.322537
Delivery_location_longitude        77.519845
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:25
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 27077, dtype: object
