ID                                    0x8dc2
Delivery_person_ID             SURRES19DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                21.149669
Restaurant_longitude               72.772629
Delivery_location_latitude         21.169669
Delivery_location_longitude        72.792629
Order_Date                        19-03-2022
Time_Orderd                            10:25
Time_Order_picked                      10:30
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   20.000000
Name: 26956, dtype: object
