ID                                    0xcf4c
Delivery_person_ID             KNPRES17DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.483042
Restaurant_longitude               80.317833
Delivery_location_latitude         26.523042
Delivery_location_longitude        80.357833
Order_Date                        11-02-2022
Time_Orderd                            13:15
Time_Order_picked                      13:25
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 18802, dtype: object
