ID                                       0xdc72
Delivery_person_ID                DEHRES03DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.335259
Restaurant_longitude                  78.053162
Delivery_location_latitude            30.385259
Delivery_location_longitude           78.103162
Order_Date                           15-02-2022
Time_Orderd                               18:40
Time_Order_picked                         18:45
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 35635, dtype: object
