ID                                    0xc0c7
Delivery_person_ID             KNPRES16DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude               -26.482581
Restaurant_longitude               80.315628
Delivery_location_latitude         26.532581
Delivery_location_longitude        80.365628
Order_Date                        17-02-2022
Time_Orderd                            22:25
Time_Order_picked                      22:40
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 9629, dtype: object
