ID                                      0x5f0
Delivery_person_ID             CHENRES02DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -13.086438
Restaurant_longitude                80.220672
Delivery_location_latitude          13.116438
Delivery_location_longitude         80.250672
Order_Date                         17-03-2022
Time_Orderd                               NaN
Time_Order_picked                       24:15
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 15418, dtype: object
